guest_black,host_race_black,host_gender_M,ten_reviews,multiple_listings,shared_property,log_price,yes
1,0,1,1,1,1,3.8918202,0
1,0,0,0,0,0,5.2933049,1
1,0,0,1,0,0,5.2983174,0
0,0,0,1,1,1,4.4308167,0
0,0,0,0,1,1,3.4011974,0
0,0,0,1,1,1,4.6051702,1
1,0,1,0,0,0,4.6913481,0
1,0,0,1,1,1,4.4998097,1
0,0,0,0,1,1,4.0073333,0
1,0,1,0,0,0,5.521461,0
1,0,1,1,0,0,5.5174527,1
1,0,0,1,0,1,3.9889841,1
1,0,0,1,0,1,4.4426513,1
0,1,0,1,1,1,4.6051702,0
0,0,1,1,1,0,5.5174527,1
1,0,0,1,1,0,5.220356,1
1,0,0,0,0,0,4.7449322,1
0,0,0,1,1,1,4.0073333,0
1,0,0,1,1,0,5.1647859,0
1,0,0,1,1,1,4.3694477,0
0,0,1,1,0,1,4.2046928,0
1,0,0,1,1,1,3.6635616,1
0,0,1,0,1,0,5.1647859,0
1,0,0,0,0,1,4.3174882,0
1,0,0,0,0,0,5.0039463,0
1,0,0,0,1,1,3.5553482,0
0,1,0,0,0,1,4.1743875,1
0,0,1,0,0,0,5.0106354,0
0,0,0,0,0,1,4.3820267,0
1,0,0,1,1,0,5.1647859,0
1,0,1,1,1,1,4.3820267,0
0,0,0,1,1,0,5.2729998,0
0,0,0,0,0,0,4.7791233,1
1,0,0,1,1,1,4.0943446,0
1,0,0,0,1,1,3.8918202,1
1,0,0,0,0,1,4.3820267,0
1,0,0,1,0,1,4.2484951,0
0,0,0,1,0,0,5.2729998,0
0,0,1,1,1,0,5.0369525,1
1,0,1,1,1,1,4.4886365,1
1,0,0,1,0,1,4.0775375,1
0,0,0,1,1,0,6.2146082,1
1,0,0,1,0,1,4.919981,0
1,0,0,1,1,1,4.2341065,0
0,0,0,0,0,1,4.3438053,1
0,0,0,1,1,0,4.3040652,1
1,0,0,1,0,1,4.1743875,1
1,0,1,0,0,0,5.1647859,0
0,0,0,0,1,0,4.3694477,1
1,0,0,0,0,0,5.521461,0
1,0,1,0,0,1,4.7874918,0
1,0,0,1,0,1,4.3174882,1
1,1,0,1,0,0,4.5538769,0
0,0,0,1,0,1,4.3174882,1
1,0,0,0,0,0,5.0106354,
0,1,1,0,0,1,4.3694477,0
0,0,0,1,0,1,4.4426513,0
1,0,0,1,0,1,3.9120231,0
1,0,1,1,0,0,4.5538769,1
0,0,0,1,0,1,3.2188759,0
1,0,0,0,0,0,6.2146082,0
0,1,1,1,1,1,4.2484951,1
1,0,0,1,0,0,5.187386,1
0,0,1,1,1,1,3.9120231,0
0,0,0,1,1,1,4.2195077,0
0,0,0,1,1,0,4.7874918,1
0,0,0,0,0,0,4.2484951,1
1,0,1,1,0,0,4.8362818,1
0,0,0,1,1,0,4.6728287,0
1,0,1,1,0,0,4.59512,0
0,0,0,1,1,0,4.4886365,1
1,0,1,1,0,0,4.6539602,0
0,0,0,1,0,0,5.187386,1
1,0,1,1,1,1,3.6888795,0
0,0,0,0,0,0,5.2983174,0
0,0,0,1,0,1,4.1743875,1
1,0,1,1,1,1,4.59512,0
0,0,1,0,0,0,5.521461,0
1,0,1,1,0,1,4.1743875,0
0,0,0,1,1,1,3.8918202,1
0,0,0,1,0,0,5.0039463,1
0,0,1,1,1,0,4.59512,0
0,0,0,1,1,0,4.7791233,0
1,0,0,1,0,1,4.0073333,1
0,0,0,1,1,1,5.1647859,1
1,0,1,0,0,0,4.7874918,0
1,0,0,1,1,0,4.8675346,1
